"","Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"681_3604",0.975243981218926,0.0247558945615664,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08,1.24219507711225e-08
"681_4028",0.999999853260327,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08,1.33399702486769e-08
"681_4452",0.987567183924615,0.0124326872288452,1.28846539655894e-08,1.28846539655894e-08,1.28846539655894e-08,1.28846539655894e-08,1.28846539655894e-08,1.28846539655894e-08,1.28846539655894e-08,1.28846539655894e-08,1.28846539655128e-08,1.28846539655894e-08
"681_4876",0.788640675132731,1.19002215142357e-08,1.19002215142357e-08,1.19002215142357e-08,0.191645597341331,0.019713620423945,1.19002215142357e-08,1.19002215142357e-08,1.19002215142357e-08,1.1900221514165e-08,1.19002215142357e-08,1.19002215142357e-08
"1135_1484",0.974340911413719,1.36137081352184e-08,0.0256589524491999,1.36137081352184e-08,1.36137081352184e-08,1.36137081352184e-08,1.36137081352184e-08,1.36137081352184e-08,1.36137081352184e-08,1.36137081352184e-08,1.36137081352184e-08,1.36137081352184e-08
"1135_1908",0.994559289216765,1.51213211892335e-08,1.51213211892335e-08,1.51213211892335e-08,0.00544055957002349,1.51213211892335e-08,1.51213211892335e-08,1.51213211892335e-08,1.51213211892335e-08,1.51213211892335e-08,1.51213211892335e-08,1.51213211892335e-08
"1135_2332",0.956370745043201,0.0418926796234572,1.35659731438803e-08,1.35659731438733e-08,0.00173645323958383,1.35659731438803e-08,1.35659731438803e-08,1.35659731438803e-08,1.35659731437998e-08,1.35659731438803e-08,1.35659731438803e-08,1.35659731438803e-08
"1135_2756",0.977050788532759,0.0122578498289387,0.0106912334293298,1.4245441385177e-08,1.4245441385177e-08,1.4245441385177e-08,1.4245441385177e-08,1.4245441385177e-08,1.4245441385177e-08,1.4245441385177e-08,1.4245441385177e-08,1.42454413844746e-08
"1135_3180",0.942985829939775,0.0140053278234696,0.0423399940940467,1.40909466643087e-08,0.000668735415135168,1.40909466643087e-08,1.40909466643087e-08,1.40909466643087e-08,1.40909466643087e-08,1.40909466643087e-08,1.40909466643087e-08,1.40909466568919e-08
"1135_3604",0.970581618677737,0.0294182299910138,1.51331249281422e-08,1.51331249281422e-08,1.51331249280523e-08,1.51331249281422e-08,1.51331249281422e-08,1.51331249280523e-08,1.51331249281422e-08,1.5133124927396e-08,1.51331249281422e-08,1.51331249201768e-08
"1135_4028",0.924485287822242,0.0426226797433769,1.25228910511087e-08,1.25228910511087e-08,0.00588311110394559,1.25228910511087e-08,1.25228910511087e-08,0.0270088211473073,1.25228910511087e-08,1.25228910511087e-08,1.25228910511087e-08,1.25228910511087e-08
"1135_4876",0.98700970730746,0.0129901643859886,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08,1.28306551508824e-08
"1135_5300",0.821859272548365,1.14040913084468e-08,1.14040913084468e-08,1.14040913084468e-08,0.17693695157539,0.001203673239423,1.14040913084468e-08,1.1404091308379e-08,1.14040913084468e-08,1.14040913084468e-08,1.14040913084468e-08,1.14040913064007e-08
"1135_9540",1.17834604750565e-08,1.17834604750565e-08,1.17834604750565e-08,1.17834604750565e-08,0.217145248985771,0.751610155902058,1.17834604750565e-08,0.0312444890610269,1.17834604750565e-08,1.17834604750565e-08,1.17834604750565e-08,1.17834604750565e-08
"1135_9964",0.0160001279299737,0.151156885863929,1.28786011613402e-08,1.28786011613402e-08,0.171992982447207,0.45864606441138,1.28786011613402e-08,1.28786011613402e-08,0.159097452226459,1.28786011612637e-08,1.28786011612637e-08,0.0431064098494443
"1135_10388",1.20484110086806e-08,1.20484110086806e-08,1.20484110086806e-08,0.0603007438329786,0.146482444682487,0.570686098447196,1.20484110086806e-08,1.20484110086806e-08,0.163628431616579,0.0589021970818826,1.2048411008609e-08,1.20484110086806e-08
"1135_10812",1.54761959274592e-08,1.54761959274592e-08,1.54761959274592e-08,1.54761959274592e-08,0.103309983535371,0.762762266689905,1.54761959274592e-08,1.54761959274592e-08,0.133927610488961,1.54761959274592e-08,1.54761959274592e-08,1.54761959274592e-08
"1589_1060",0.944248908671116,1.2931132908516e-08,1.2931132908516e-08,1.2931132908516e-08,0.0557509620175548,1.2931132908516e-08,1.2931132908516e-08,1.2931132908516e-08,1.2931132908516e-08,1.2931132908516e-08,1.2931132908516e-08,1.2931132908516e-08
"1589_1484",0.981834448284716,0.00662284286085532,0.0105630055224652,1.2501812130895e-08,0.000979603317466917,1.2501812130895e-08,1.2501812130895e-08,1.2501812130895e-08,1.2501812130895e-08,1.2501812130895e-08,1.2501812130895e-08,1.25018121308207e-08
"1589_1908",0.933548798878114,0.0594524330363609,1.28840909624344e-08,1.28840909624344e-08,0.00699865212870596,1.28840909624344e-08,1.28840909624344e-08,1.28840909624344e-08,1.28840909624344e-08,1.28840909624344e-08,1.28840909624344e-08,1.28840909624344e-08
"1589_2332",0.994898812951264,0.00510106271943898,1.24329297326014e-08,1.24329297326014e-08,1.24329297326014e-08,1.24329297326014e-08,1.24329297326014e-08,1.24329297326014e-08,1.24329297326014e-08,1.24329297326014e-08,1.24329297325276e-08,1.24329297326014e-08
