"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"NAV1",0.00253192475434662,0.0191403837946301,0.0596681354234595,0.0642710552740924,0.000591953066425726,0.00107886622645152,0.00251954248256716,0.0105409529706344,0.00399858315193227,0.00147131792329012,0.00200205229174331,0.0179374525228402
"SLC39A8",0.00152124552627091,0.00491179753581654,0.0223961998822774,0.00898025408036239,0.00324293954589826,0.000842941669567214,0.000789047435913823,0.00237291026618026,0.000654280890869762,0.000239111813257389,0.000475524764100958,0.00172458642535707
"TOP2A",0.00618565311917386,0.0111666470719457,0.0800016933624283,0.0551119314014402,0.00281537760261099,0.00748101537310698,0.0202216568456357,0.0281967158341789,0.0225989735861735,0.00413455554451374,0.0206155110074747,0.0064100380484903
"COL9A2",0.000526111114833785,0.000663196407222692,0.00801282778231324,0.00104575169228871,0.0010333506775422,0.000604702124524635,0.0212290719792848,0.000456964751633076,0.000808797004779035,0,0.00151290144816699,7.5254148897578e-05
"STMN2",0,0.00332357228196748,0.0241260254447304,0.00373985513149156,0.000829226876238161,0.000296665854770654,0.000709182738715068,0.00065356880074734,0.00040282691238467,0,0.00756332541796082,4.42992465595962e-05
"FAM210B",0.00395825843381257,0.0174352871599618,0.0293047635877419,0.0490486221545589,0.00967640006443298,0.00560188689250471,0.0113074629749239,0.0134335411804106,0.00703869802004827,0.00218155254167342,0.00620456431232681,0.00600917074405184
"NUSAP1",0.00905212330845202,0.0202962044893102,0.0984411666892795,0.106334499305572,0.00630515795172971,0.0115599152603382,0.0296589018405568,0.0373191730232877,0.0309291227619522,0.0188140488082768,0.0274404444185894,0.0131976417777869
"FABP3",0.015886462786542,0.00365984836811635,0.0535227490587672,0.00623261991782579,0.00284497755067438,0.00135689954240394,0.00229394156091832,0.00232180581454172,0.00180416971707164,0.0455327678047741,0.00124357086680789,0.0251899299069265
"MYL2",0.0038206745474283,0.0157285533592354,0.0702433132388591,0.026172112588203,0.00422899811550763,0.00519889316462554,0.00452063405997528,0.0102843326205627,0.00880906731401917,0.176456593749578,0.0014869825928293,0.122704058549495
"MT2A",0.000778276843541529,0.00505747520586293,0.0355989791419821,0.0238133318260448,0.000645239235320718,0.000807622343685002,0.00145110713478686,0.0232244564443263,0.00184035280862563,0.000778778241327277,0.000477032852636686,0.00210122637401729
"MT1F",0.000588988148094711,0.00123205939627364,0.0108734215251798,0.000179768595441745,0,0.000177500475755616,0.000140596437167668,0.000562910874935555,7.40221975447557e-05,0.000543991721262706,6.20865289859847e-05,0.000344235302945156
"CDK1",0.00376637787719525,0.00948458788802086,0.0399168740259964,0.0417152310326917,0.00505533910697358,0.00456276534562089,0.0100486820980755,0.0131957061024018,0.0100380034910936,0.00924410611961914,0.00778322016354768,0.00310777812525397
"NOV",0.000107724287908548,0.000990292421684879,0.00150151238154913,0.000840878224445133,0,0.000206719930914963,0.00517925491251698,0.000186964856939318,0.000202138720993002,0,0.00113790470512613,2.09426069685898e-05
